date,NO3-N_ugL_YRZ,NO3-N_ugL_YHZ
2012/3/26,457.176,1945.328
2012/3/27,594.93,1804.229
2012/3/28,439.382,1782.966
2012/3/29,436.949,1782.268
2012/3/30,482.661,1824.225
2012/3/31,453.351,1806.917
2012/4/1,466.308,1724.502
2012/4/2,471.998,1704.496
2012/4/3,438.11,1667.933
2012/4/4,498.06,1672.317
2012/4/5,489.503,1428.295
2012/4/6,483.855,1401.817
2012/4/7,473.707,1397.293
2012/4/8,470.591,1406.142
2012/4/9,489.241,1458.2
2012/4/10,507.268,1411.091
2012/4/11,495.222,1195.067
2012/4/12,486.372,1146.59
2012/4/13,488.016,1081.015
2012/4/14,454.956,1169.076
2012/4/15,477.815,1179.052
2012/4/16,489.864,1168.006
2012/4/17,467.151,1240.181
2012/4/18,443.748,1241.339
2012/4/19,368.561,1043.958
2012/4/20,354.78,1054.923
2012/4/21,338.85,664.817
2012/4/22,368.726,1078.604
2012/4/23,334.268,1102.529
2012/4/24,310.891,590.935
2012/4/25,308.229,944.197
2012/4/26,284.474,1046.126
2012/4/27,306.199,1100.034
2012/4/28,314.818,830.337
2012/4/29,311.461,1262.073
2012/4/30,317.373,1387.619
2012/5/1,312.178,1509.307
2012/5/2,324.495,999.157
2012/5/3,469.031,1121.952
2012/5/4,397.795,826.242
2012/5/5,439.6,
2012/5/6,426.194,
2012/5/7,428.997,
2012/5/8,432.781,
2012/5/9,386.565,
2012/5/10,411.065,
2012/5/11,424.355,
2012/5/12,392.614,
2012/5/13,341.836,
2012/5/14,336.801,
2012/5/15,333.95,
2012/5/16,294.546,
2012/5/17,225.968,
2012/5/18,221.363,
2012/5/19,207.308,
2012/5/20,211.073,
2012/5/21,206.721,
2012/5/22,282.324,
2012/5/23,341.116,
2012/5/24,342.648,
2012/5/25,333.12,
2012/5/26,322.566,
2012/5/27,328.897,
2012/5/28,316.083,
2012/5/29,295.373,641.628
2012/5/30,258.022,536.832
2012/5/31,277.601,508.766
2012/6/1,316.807,720.58
2012/6/2,251.289,762.583
2012/6/3,284.677,701.33
2012/6/4,277.203,688.272
2012/6/5,348.304,927.574
2012/6/6,317.717,786.448
2012/6/7,319.959,769.551
2012/6/8,278.472,794.361
2012/6/9,313.173,824.655
2012/6/10,325.224,872.837
2012/6/11,358.188,839.276
2012/6/12,333.922,732.913
2012/6/13,322.505,772.603
2012/6/14,345.985,767.691
2012/6/15,334.809,732.051
2012/6/16,322.193,796.956
